ФИО,Год поступления,Форма обучения,Балл ЦТ/ЦЭ,Средний балл аттестата,Общий балл,Специальность,Адрес,Телефон
Евстигней Ермолаевич Кулагин,2022,дневная,"{'Математика': 48, 'Физика': 85, 'Химия': 71, 'История': 80, 'Обществознание': 97}",7.73,458.3,Информатика,"ст. Арзамас, пер. Достоевского, д. 4 стр. 893, 264635",8 339 467 6381
Самсонова Марфа Аскольдовна,2021,вечерняя,"{'Математика': 82, 'Физика': 35, 'Химия': 46, 'История': 92, 'Обществознание': 100}",6.04,415.4,Биология,"г. Сургут (Хант.), ш. Павлика Морозова, д. 640 к. 8, 615206",8 (314) 631-5867
Варвара Григорьевна Корнилова,2021,вечерняя,"{'Математика': 55, 'Физика': 77, 'Химия': 42, 'История': 63, 'Обществознание': 52}",7.1,360.0,Физика,"клх Рыльск, пер. Таежный, д. 33 к. 75, 261342",8 828 896 83 07
Полякова Лариса Эльдаровна,2025,дневная,"{'Математика': 87, 'Физика': 48, 'Химия': 43, 'История': 72, 'Обществознание': 75}",5.12,376.2,Математика,"клх Льгов, пр. Радужный, д. 1/5 стр. 8, 143567",+7 208 645 04 51
Лукьян Германович Егоров,2021,дневная,"{'Математика': 43, 'Физика': 95, 'Химия': 80, 'История': 62, 'Обществознание': 66}",6.15,407.5,Физика,"г. Яхрома, алл. Восточная, д. 149, 901001",+7 536 611 8215
Мина Денисович Мухин,2023,дневная,"{'Математика': 65, 'Физика': 58, 'Химия': 76, 'История': 56, 'Обществознание': 96}",7.21,423.1,Математика,"ст. Томари, алл. Блюхера, д. 8, 308466",84188649204
Щербакова Олимпиада Семеновна,2021,дневная,"{'Математика': 92, 'Физика': 46, 'Химия': 35, 'История': 58, 'Обществознание': 51}",9.93,381.3,Экономика,"ст. Бреды, наб. Больничная, д. 5 стр. 599, 185733",8 (392) 150-5415
Ефимова Вера Геннадьевна,2025,дневная,"{'Математика': 65, 'Физика': 50, 'Химия': 35, 'История': 81, 'Обществознание': 40}",7.17,342.7,Биология,"клх Меренга, наб. Геологическая, д. 799 стр. 4/5, 094395",8 (443) 834-0931
Максимов Гедеон Давидович,2025,дневная,"{'Математика': 75, 'Физика': 80, 'Химия': 62, 'История': 83, 'Обществознание': 40}",8.03,420.3,Математика,"клх Октябрьский (Башк.), алл. Радужная, д. 25 стр. 768, 450790",+7 169 644 0923
Романов Святослав Вячеславович,2025,вечерняя,"{'Математика': 92, 'Физика': 36, 'Химия': 72, 'История': 42, 'Обществознание': 56}",8.29,380.9,Физика,"ст. Ясный (Оренб.), бул. Энергетический, д. 2/6 стр. 8/8, 919173",8 694 961 9004
Эмилия Харитоновна Родионова,2025,дневная,"{'Математика': 43, 'Физика': 54, 'Химия': 92, 'История': 96, 'Обществознание': 60}",6.77,412.7,Информатика,"к. Торжок, пр. Привокзальный, д. 3/9 к. 7, 160024",8 553 303 10 54
Молчанова Эмилия Юльевна,2024,заочная,"{'Математика': 79, 'Физика': 92, 'Химия': 87, 'История': 94, 'Обществознание': 78}",8.39,513.9,Информатика,"д. Неплюевка, ш. Терешковой, д. 66 стр. 8/7, 899829",+74646325458
Александрова Анастасия Даниловна,2022,заочная,"{'Математика': 58, 'Физика': 36, 'Химия': 35, 'История': 55, 'Обществознание': 79}",6.56,328.6,Физика,"к. Зеленоград, алл. Энтузиастов, д. 8 к. 9/6, 722589",+7 651 629 6999
Борислав Аксёнович Поляков,2024,вечерняя,"{'Математика': 43, 'Физика': 72, 'Химия': 54, 'История': 38, 'Обществознание': 89}",9.78,393.8,Физика,"к. Стерлитамак, алл. Новая, д. 3/3, 351738",8 978 438 31 84
